BoMAll,BoMAllNoAZ,TeoOnly,TeoOnlyNoAZ
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
185,NA,NA,NA
