"site","begin","end"
"NA 9353","1050","1150"
"NA 9354","825","1150"
"NA 9355","825","1000"
"NA 9352","1100","1225"
"NA 9351","1100","1225"
"NA 9356","1050","1225"
"NA 9349","1100","1225"
"NA 9350","1050","1225"
"NA 9364","1100","1225"
"NA 9363","1100","1225"
"NA 9362","1100","1225"
"NA 9360","1050","1250"
"NA 9361","1100","1225"
"NA 9357","1150","1225"
"NA 9358","1100","1225"
"NA 9359","1050","1150"
"NA 9395","1075","1150"
"NA 9365","1050","1150"
"NA 9367","850","1250"
"NA 9383","1100","1250"
"NA 9394","1100","1250"
"NA 9393","1050","1225"
"NA 9390","1050","1225"
"NA 9391","1050","1225"
"NA 9389","1050","1150"
"NA 9388","1075","1150"
"NA 9384","1050","1150"
"NA 9386","1050","1250"
"NA 9385","1050","1150"
"NA 9208","1100","1225"
"NA 9207","1100","1250"
"NA 9206","1050","1150"
"NA 9377","1050","1150"
"NA 9198","1050","1150"
"NA 9189","1100","1225"
"NA 9197","1050","1150"
"NA 9190","1050","1250"
"NA 9191","1050","1225"
"NA 9195","1050","1150"
"NA 9196","825","1250"
"NA 9194","1050","1250"
"NA 9193","850","1150"
"NA 9192","600","1100"
"NA 9199","1050","1225"
"NA 9204","1050","1150"
"NA 9203","1100","1225"
"NA 9202","1050","1150"
"NA 9201","1050","1225"
"NA 9200","1100","1225"
"NA 9246","1050","1225"
"NA 9247","1050","1250"
"NA 9205","1100","1250"
"NA 9243","1050","1225"
"NA 9244","850","1200"
"NA 9270","1050","1225"
"NA 9271","1050","1225"
"NA 9272","1100","1250"
"NA 9282","1100","1225"
"NA 9273","1050","1225"
"NA 9283","1050","1150"
"NA 9284","1050","1250"
"NA 9276","1100","1225"
"NA 9275","1050","1225"
"NA 9274","1100","1250"
"NA 9269","1050","1150"
"NA 9268","1050","1225"
"NA 9267","1050","1150"
"NA 9277","1050","1250"
"NA 9289","1100","1225"
"NA 9305","1100","1225"
"NA 9304","1050","1225"
"NA 9307","1100","1225"
"NA 9306","1050","1150"
"NA 9308","1100","1225"
"NA 9337","1100","1250"
"NA 9336","1100","1225"
"NA 9292","1100","1225"
"NA 9291","1100","1225"
"NA 9290","1100","1225"
"NA 9286","1050","1175"
"NA 9287","1050","1250"
"NA 9285","1100","1225"
"NA 9302","1050","1200"
"NA 9301","1100","1250"
"NA 9300","1100","1250"
"NA 9299","1100","1250"
"NA 9298","1100","1250"
"NA 9293","1100","1225"
"NA 9303","1150","1225"
"NA 9294","1100","1250"
"NA 9296","1100","1225"
"NA 9295","1100","1250"
"NA 9297","1100","1225"
"NA 9262","1050","1225"
"NA 9261","1000","1150"
"NA 9263","1100","1225"
"NA 9264","1100","1225"
"NA 9281","1100","1250"
"NA 9280","1100","1225"
"NA 9279","1100","1225"
"NA 9265","1050","1250"
"NA 9266","1100","1225"
"NA 9248","1000","1175"
"NA 9249","875","1000"
"NA 9250","825","1000"
"NA 9251","1050","1225"
"NA 9252","1000","1100"
"NA 9259","1050","1150"
"NA 9378","1050","1150"
"NA 9376","1050","1150"
"NA 9375","1050","1150"
"NA 9372","1100","1250"
"NA 9371","1100","1225"
"NA 9370","1050","1150"
"NA 9369","600","1150"
"NA 9368","1050","1150"
"NA 9183","1100","1225"
"NA 9185","825","1000"
"NA 9186","1100","1250"
"NA 9254","1050","1150"
"NA 9253","1050","1225"
"NA 9256","1000","1150"
"NA 9255","1050","1225"
"NA 9258","1100","1225"
"NA 9257","1050","1225"
"NA 9173","1100","1225"
"NA 9399","1050","1150"
"NA 9398","1100","1225"
"NA 9397","1050","1150"
"NA 9396","1100","1225"
"NA 9174","1100","1250"
"NA 9175","1100","1250"
"NA 9176","1100","1225"
"NA 9168","1100","1250"
"NA 9170","1150","1225"
"NA 9171","1050","1225"
"NA 9172","1050","1250"
"NA 9167","1050","1150"
"NA 9188","1050","1250"
"NA 9178","1000","1150"
"NA 9177","1000","1150"
"NA 9340","1050","1150"
"NA 9380","1100","1225"
"NA 9179","1100","1225"
"NA 9406","1100","1250"
"NA 9405","1100","1225"
"NA 9314","1100","1250"
"NA 9315","1100","1250"
"NA 9322","1050","1250"
"NA 9321","1100","1225"
"NA 9320","1100","1250"
"NA 9323","1050","1225"
"NA 9319","1100","1225"
"NA 9326","1100","1225"
"NA 9325","1150","1225"
"NA 9324","1100","1225"
"CS001","1200","1300"
"CS003","1200","1300"
"CS006","1200","1300"
"CS008","1200","1300"
"CS017","1200","1300"
"CS031","550","950"
"CS032","1200","1300"
"CS033","1200","1300"
"CS035","1200","1300"
"CS037","1200","1300"
"CS052","1200","1300"
"CS053","1200","1300"
"CS055","1200","1300"
"CS057","1200","1300"
"CS058","1200","1300"
"CS060","1200","1300"
"CS063","900","1025"
"CS073","1200","1300"
"CS074","1200","1300"
"CS078","1325","1675"
"CS079","1200","1300"
"CS081","1200","1300"
"CS083","1200","1300"
"CS086","1175","1300"
"CS087","1200","1300"
"CS088","850","925"
"CS089","1200","1300"
"CS092","850","1000"
"CS096","1200","1300"
"CS098","1200","1300"
"CS102","1175","1300"
"CS103","1200","1300"
"CS104","1200","1300"
"CS105","1200","1300"
"CS106","1200","1300"
"CS112","1200","1300"
"CS115","1200","1300"
"CS117","1200","1300"
"CS119","1200","1300"
"CS122","1200","1300"
"CS123","1200","1300"
"CS124","875","1225"
"CS131","1200","1300"
"CS132","1200","1300"
"CS135","1200","1300"
"CS137","875","1050"
"CS142","1200","1300"
"CS155","1200","1300"
"CS156","1200","1300"
"CS157","1050","1300"
"CS158","1200","1300"
"CS161","1200","1300"
"CS163","1200","1300"
"CS167","1200","1300"
"CS169","1200","1300"
"CS171","1175","1300"
"CS173","1200","1300"
"CS174","1200","1300"
"CS175","1200","1300"
"CS177","1200","1300"
"CS180","1200","1300"
"LZ0500","1200","1300"
"LZ0502","1200","1300"
"LZ0505","850","1300"
"LZ0507","1200","1300"
"LZ0508","1050","1225"
"LZ0513","1200","1300"
"LZ0515","1050","1300"
"LZ0516","1200","1300"
"LZ0518","1025","1200"
"LZ0523","1050","1300"
"LZ0524","850","925"
"LZ0526","875","1050"
"LZ0527","1050","1225"
"LZ0528","1000","1300"
"LZ0530","1000","1100"
"LZ0531","875","1200"
"LZ0532","900","1150"
"LZ0533","1050","1300"
"LZ0535","875","1200"
"LZ0536","1175","1300"
"LZ0537","1050","1200"
"LZ0538","1050","1300"
"LZ0539","1050","1225"
"LZ0540","1050","1300"
"LZ0541","1200","1300"
"LZ0546","1050","1150"
"LZ0547","1000","1100"
"LZ0548","1000","1100"
"LZ0550","1050","1450"
"LZ0551","1200","1300"
"LZ0557","1200","1300"
"LZ0565","1200","1300"
"LZ0569","1000","1200"
"LZ0570","1050","1200"
"LZ0576","1100","1300"
"LZ0578","1050","1225"
"LZ0580","1200","1300"
"LZ0581","1050","1200"
"LZ0587","900","1150"
"LZ0588","1050","1200"
"LZ0589","1050","1200"
"LZ0590","1100","1225"
"LZ0591","1025","1200"
"LZ0593","1100","1225"
"LZ0594","1050","1175"
"LZ0595","850","1200"
"LZ0597","1000","1150"
"LZ0598","1000","1175"
"LZ0605","550","1150"
"LZ0606","1050","1200"
"LZ0610","1050","1175"
"LZ0611","1050","1200"
"LZ0612","1025","1175"
"LZ0614","1050","1200"
"LZ0616","1025","1200"
"LZ0618","550","1100"
"LZ0620","550","1200"
"LZ0621","900","1150"
"LZ0623","1050","1150"
"LZ0627","1050","1150"
"LZ0629","1000","1175"
"LZ0650","1050","1200"
"LZ0653","1050","1150"
"LZ0654","1050","1200"
"LZ0655","900","1050"
"LZ0658","900","1150"
"LZ0703","875","1200"
"LZ0704","1200","1300"
"LZ0706","1200","1300"
"LZ0707","1050","1225"
"LZ0710","550","1300"
"LZ0713","550","1175"
"LZ0715","550","925"
"LZ0718","550","925"
"LZ0720","550","1200"
"LZ0727","550","950"
"LZ0729","875","1050"
"LZ0730","550","1450"
"LZ0732","1050","1300"
"LZ0735","1050","1175"
"LZ0736","875","1050"
"LZ0739","550","950"
"LZ0743","1200","1300"
"LZ0744","1050","1175"
"LZ0745","1050","1200"
"LZ0746","850","1200"
"LZ0747","1200","1300"
"LZ0748","875","1050"
"LZ0749","875","1200"
"LZ0750","1200","1300"
"LZ0751","1050","1300"
"LZ0752","1200","1300"
"LZ0759","1200","1300"
"LZ0760","1100","1300"
"LZ0766","550","925"
"LZ0768","1050","1175"
"LZ0773","1800","1900"
"LZ0774","1050","1200"
"LZ0776","1050","1175"
"LZ0777","1175","1300"
"LZ0782","1025","1200"
"LZ0783","1050","1200"
"LZ0784","1050","1200"
"LZ0787","1200","1300"
"LZ0789-1","1100","1300"
"LZ0800","1275","1450"
"LZ0802","1200","1300"
"LZ0805","875","1300"
"LZ0806","1050","1300"
"LZ0807","1175","1300"
"LZ0809","1050","1200"
"LZ0814","1200","1300"
"LZ0815","1100","1225"
"LZ0816","1200","1300"
"LZ0819","1050","1200"
"LZ0821","1050","1200"
"LZ0822","1050","1175"
"LZ0826","875","1200"
"LZ0828","850","1300"
"LZ0830","1050","1200"
"LZ0850","1175","1300"
"LZ0851","1050","1200"
"LZ0852","1200","1300"
"LZ0854","1200","1300"
"LZ0856","1050","1200"
"LZ0857","1050","1300"
"LZ0859","1050","1300"
"LZ0860","850","1300"
"LZ0861","1050","1200"
"LZ0862","1050","1300"
"LZ0863","875","1175"
"LZ1228","1200","1300"
"LZ1229","1200","1325"
"LZ1257","1200","1300"
"LZ1277","1050","1200"
"LZ1298","1200","1300"
"LZ1303","1275","1325"
"LZ1309","1200","1300"
"LZ1312","1050","1300"
"LZ1313","1200","1300"
"LZ1316","1200","1300"
"LZ1320","1200","1300"
"LZ1322","1000","1325"
"LZ1323","1200","1300"
"LZ1324","1200","1300"
"LZ1327","1275","1325"
"LZ1329","1200","1300"
"LZ1330","1200","1300"
"LZ1335","1050","1300"
"LZ1338","1000","1150"
"LZ1340","1200","1300"
"LZ1341","1200","1300"
"LZ1342","1200","1300"
"AZ Q:4:65 (ASM)","900","1050"
"LZ0001","875","1175"
"LZ0002","550","1025"
"LZ0003","550","925"
"LZ0005","550","1150"
"LZ0006","550","950"
"LZ0007","550","1050"
"LZ0008","875","1050"
"LZ0009","850","925"
"LZ0010","1050","1200"
"LZ0013","900","1200"
"LZ0014","550","950"
"LZ0015","900","1300"
"LZ0017","900","1150"
"LZ0018","1200","1300"
"LZ0019","1200","1300"
"LZ0020","550","1150"
"LZ0023","1050","1200"
"LZ0024","1050","1150"
"LZ0025","900","1025"
"LZ0026","550","1175"
"LZ0027","850","1150"
"LZ0028","1000","1300"
"LZ0029","900","1300"
"LZ0030","900","1150"
"LZ0031","1050","1450"
"LZ0035","1000","1175"
"LZ0037","875","1150"
"LZ0040","550","1175"
"LZ0041","1050","1200"
"LZ0042","1050","1150"
"LZ0044","550","1300"
"LZ0050","550","950"
"LZ0052","1050","1150"
"LZ0053","550","850"
"LZ0055","550","1175"
"LZ0056","550","950"
"LZ0057","550","925"
"LZ0058","1050","1675"
"LZ0059","1050","1200"
"LZ0060","1050","1150"
"LZ0061","1050","1150"
"LZ0062","1050","1150"
"LZ0066","1050","1200"
"LZ0067","550","1175"
"LZ0068","1050","1175"
"LZ0071","550","1175"
"LZ0073","550","1150"
"LZ0076","850","925"
"LZ0093","1025","1200"
"LZ0094","550","950"
"LZ0096","550","1200"
"LZ0103","1200","1300"
"LZ0104","900","1025"
"LZ0105","850","1025"
"LZ0106","550","1200"
"LZ0107","550","950"
"LZ0195","550","1100"
"LZ0196","1000","1200"
"LZ0197","1025","1200"
"LZ0198","875","1200"
"LZ0201","900","1100"
"LZ0202","550","1150"
"LZ0203","1050","1300"
"LZ0204","1050","1300"
"LZ0205","1000","1150"
"LZ0208","1050","1300"
"LZ0209","900","1150"
"LZ0210","1175","1300"
"LZ0211","1050","1200"
"LZ0212","1050","1200"
"LZ0213","1025","1150"
"LZ0214","1050","1150"
"LZ0215","1050","1300"
"LZ0216","1000","1150"
"LZ0217","1050","1175"
"LZ0218","1000","1300"
"LZ0219","1050","1300"
"LZ0220","1050","1150"
"LZ0221","1175","1300"
"LZ0223","1175","1300"
"LZ0225","1050","1300"
"LZ0226","1050","1150"
"LZ0227","1025","1150"
"LZ0229","1050","1300"
"LZ0233","1100","1300"
"LZ0235","1025","1200"
"LZ0239","1000","1200"
"LZ0241","1050","1300"
"LZ0243","875","1050"
"LZ0244","1050","1200"
"LZ0245","1000","1200"
"LZ0246","1050","1300"
"LZ0247","1050","1225"
"LZ0251","1000","1175"
"LZ0252","1025","1150"
"LZ0258","550","925"
"LZ0259","900","1050"
"LZ0260","1050","1200"
"LZ0263","550","1200"
"LZ0264","1050","1200"
"LZ0265","1050","1300"
"LZ0266","1050","1200"
"LZ0268","1050","1300"
"LZ0269","1050","1200"
"LZ0270","1050","1300"
"LZ0271","550","950"
"LZ0272","1050","1300"
"LZ0273","1050","1300"
"LZ0274","1050","1300"
"LZ0276","1000","1175"
"LZ0279","1025","1200"
"LZ0280","1050","1300"
"LZ0281","1050","1300"
"LZ0282","1200","1300"
"LZ0283","1050","1200"
"LZ0286","550","1200"
"LZ0288","1000","1100"
"LZ0290","550","925"
"LZ0292","550","950"
"LZ0294","550","1175"
"LZ0295","550","950"
"LZ0301","550","1300"
"LZ0302","1050","1200"
"LZ0304","550","950"
"LZ0307","550","1150"
"LZ0309","550","875"
"LZ0310","1050","1200"
"LZ0318","1000","1175"
"LZ0319","1000","1300"
"LZ0322","1050","1175"
"LZ0323","1025","1200"
"LZ0324","1050","1200"
"LZ0326","1000","1175"
"LZ0328","875","1050"
"LZ0329","875","1150"
"LZ0330","1025","1300"
"LZ0332","875","1150"
"LZ0333","1000","1100"
"LZ0334","550","925"
"LZ0335","1025","1200"
"LZ0337","1025","1150"
"LZ0338","850","925"
"LZ0339","1050","1200"
"LZ0341","550","1200"
"LZ0342","875","1150"
"LZ0343","1050","1675"
"LZ0345","550","925"
"LZ0346","1050","1300"
"LZ0347","1050","1300"
"LZ0348","1200","1300"
"LZ0349","1050","1200"
"LZ0350","1025","1200"
"LZ0351","1050","1200"
"LZ0354","1100","1300"
"LZ0355","1025","1300"
"LZ0356","1050","1200"
"LZ0357","1200","1675"
"LZ0358","550","1100"
"LZ0359","550","1050"
"LZ0360","1050","1200"
"LZ0361","900","1200"
"LZ0362","550","1100"
"LZ0363","1050","1200"
"LZ0367","550","925"
"LZ0400","1050","1200"
"LZ0403","550","1450"
"LZ0404","875","1050"
"LZ0407","1275","1450"
"LZ0408","1275","1450"
"LZ0413","1050","1150"
"LZ0414","875","1050"
"LZ0416","1000","1100"
"LZ0418","875","1050"
"LZ0423","875","1300"
"LZ0424","1275","1450"
"LZ0426","1275","1675"
"LZ0427","1275","1400"
"LZ0431","550","950"
"LZ0438","1175","1300"
"LZ0443","1050","1300"
"LZ0455","1400","1675"
"LZ0456","1000","1200"
"LZ0459","850","925"
"LZ0461","550","950"
"LZ0467","875","1050"
"LZ0469","875","1050"
"LZ0470","875","1050"
"LZ0478","1025","1200"
"LZ0910","550","950"
"LZ0927","1025","1200"
"LZ0929","550","1200"
"LZ0931","1050","1150"
"LZ0934","1050","1200"
"LZ0936","1050","1175"
"LZ0937","550","1150"
"LZ0939","550","1150"
"LZ0940","550","1150"
"LZ0955","550","1200"
"LZ0956","1050","1200"
"LZ0958","550","1200"
"LZ0964","1050","1175"
"LZ0969","1050","1200"
"LZ0973","1050","1200"
"LZ0974","1050","1200"
"LZ0975","1025","1150"
"LZ0977","550","1150"
"LZ0978","850","1200"
"LZ0979","1050","1150"
"LZ0980","1050","1200"
"LZ0982","550","950"
"LZ0983","550","950"
"LZ0986","1025","1175"
"LZ0987","1025","1300"
"LZ0988","550","950"
"LZ1001","550","1300"
"LZ1004","850","1300"
"LZ1007","1050","1300"
"LZ1008","1050","1200"
"LZ1009","1050","1200"
"LZ1010","1000","1175"
"LZ1012","1050","1300"
"LZ1013","1050","1200"
"LZ1014","1050","1200"
"LZ1015","1025","1150"
"LZ1016","850","1200"
"LZ1018","1100","1300"
"LZ1019","550","1300"
"LZ1020-1","550","1300"
"LZ1023","550","1100"
"LZ1025","550","1300"
"LZ1033","875","1300"
"LZ1034","1025","1300"
"LZ1035","1200","1300"
"LZ1038","1050","1300"
"LZ1043","1175","1300"
"LZ1044","550","1175"
"LZ1045","550","1150"
"LZ1047","1050","1300"
"LZ1052","550","950"
"LZ1053","550","1150"
"LZ1054","1175","1300"
"LZ1058","1050","1300"
"LZ1060","1200","1300"
"LZ1061","550","1300"
"LZ1062-1","1200","1300"
"LZ1063","1200","1300"
"LZ1064","550","950"
"LZ1065","850","1300"
"LZ1067","1050","1175"
"LZ1070","1000","1175"
"LZ1071","550","950"
"LZ1072","550","950"
"LZ1073","550","950"
"LZ1074","550","875"
"LZ1075","550","1300"
"LZ1076-1","1175","1300"
"LZ1077","550","950"
"LZ1078","550","1300"
"LZ1081","1175","1300"
"LZ1082","1000","1100"
"LZ1083","550","1150"
"LZ1085","550","950"
"LZ1087","550","1175"
"LZ1088","550","950"
"LZ1091","1050","1300"
"LZ1092","1025","1300"
"LZ1095","1000","1300"
"LZ1096","550","1200"
"LZ1097","1000","1300"
"LZ1099","1050","1150"
"LZ1100","1050","1300"
"LZ1105","1050","1225"
"LZ2025","1025","1300"
"LZ2026","900","1200"
"LZ2027","550","1300"
"LZ2029","900","1200"
"LZ2030","1025","1200"
"LZ2031","1025","1300"
"LZ2032","550","1300"
"LZ2033","550","1050"
"LZ2040","550","1300"
"LZ2044","700","1200"
"LZ2052","875","1025"
"LZ2053","875","1150"
"LZ2054","550","1200"
"LZ2055","1025","1200"
"LZ2060","1025","1200"
"LZ2066","550","1000"
"LZ2077","875","1025"
"NM G:9:1 (ASU)","550","925"
"NM G:9:2 (ASU)","1050","1300"
"NM G:9:3 (ASU)","875","1200"
"NM G:9:4 (ASU)","550","1200"
"NM G:9:9 (ASU)","1050","1200"
"NM G:9:10 (ASU)","700","1300"
"NM G:9:11 (ASU)","550","950"
"NM G:9:12 (ASU)","1050","1175"
"NM G:9:15 (ASU)","1025","1200"
"NM G:9:17 (ASU)","1050","1200"
"NM G:9:21 (ASU)","1025","1200"
"NM G:9:22 (ASU)","1025","1200"
"NM G:9:23 (ASU)","1050","1300"
"NM G:9:24 (ASU)","1025","1200"
"NM G:9:25 (ASU)","1025","1300"
"NM G:9:26 (ASU)","1025","1200"
"NM G:9:29 (ASU)","1025","1200"
"NM G:9:30 (ASU)","1050","1150"
"NM G:9:31 (ASU)","1050","1300"
"NM G:9:32 (ASU)","550","1200"
"NM G:9:33 (ASU)","1050","1200"
"NM G:9:34 (ASU)","1050","1200"
"NM G:9:39 (ASU)","1050","1200"
"NM G:9:40 (ASU)","1025","1200"
"NM G:9:41 (ASU)","700","1200"
"NM G:9:43 (ASU)","875","1300"
"NM G:9:44 (ASU)","700","1300"
"NM G:9:45 (ASU)","1050","1300"
"NM G:9:46 (ASU)","1100","1300"
"NM G:9:47 (ASU)","700","1200"
"NM G:9:48 (ASU)","1050","1300"
"NM G:9:49 (ASU)","1100","1300"
"NM G:9:50 (ASU)","1100","1300"
"NM G:9:51 (ASU)","1025","1300"
"NM G:9:52 (ASU)","1100","1300"
"NM G:9:53 (ASU)","1100","1300"
"NM G:9:55 (ASU)","1250","1300"
"NM G:9:57 (ASU)","700","1200"
"NM G:9:63 (ASU)","550","850"
"NM G:9:64 (ASU)","875","1300"
"NM G:9:65 (ASU)","1050","1300"
"NM G:9:66 (ASU)","1050","1200"
"NM G:9:74 (ASU)","1100","1300"
"NM G:9:76 (ASU)","550","950"
"NM G:9:77 (ASU)","1050","1300"
"NM G:9:78 (ASU)","1050","1300"
"NM G:9:79 (ASU)","550","925"
"NM G:9:80 (ASU)","1050","1200"
"NM G:9:81 (ASU)","550","850"
"NM G:9:82 (ASU)","550","850"
"NM G:9:83 (ASU)","550","1200"
"NM G:9:84 (ASU)","550","925"
"NM G:9:85 (ASU)","700","1150"
"NM G:9:86 (ASU)","1050","1200"
"NM G:9:87 (ASU)","550","1200"
"NM G:9:89 (ASU)","550","1300"
"NM G:9:91 (ASU)","1250","1300"
"NM G:9:92 (ASU)","1050","1200"
"NM G:9:93 (ASU)","1025","1200"
"NM G:9:94 (ASU)","1050","1200"
"NM G:9:96 (ASU)","850","1200"
"NM G:9:97 (ASU)","700","1200"
"NM G:9:98 (ASU)","700","1900"
"NM G:9:99 (ASU)","1100","1300"
"NM G:9:100 (ASU)","1100","1300"
"NM G:9:202 (ASU)","550","850"
"NM G:9:208 (ASU)","1250","1300"
"NM G:9:211 (ASU)","700","1300"
"NM G:9:212 (ASU)","550","925"
"NM G:9:213 (ASU)","1050","1150"
"NM G:9:214 (ASU)","1025","1200"
"NM G:9:218 (ASU)","1050","1200"
"NM G:9:219 (ASU)","550","950"
"NM G:9:223 (ASU)","925","1175"
"NM G:9:224 (ASU)","1050","1175"
"NM G:9:225 (ASU)","1050","1200"
"NM G:9:226 (ASU)","850","1200"
"LA 48496","1050","1225"
"LA 48614","1050","1200"
"LA 48616","1050","1300"
"LA 48618","1025","1175"
"LA 48627","1050","1225"
"LA 48628","1050","1200"
"LA 48629","1050","1150"
"LA 48632","1050","1200"
"LA 48633","1050","1200"
"LA 48636","1050","1200"
"LA 48638","1050","1200"
"LA 48640","1050","1200"
"LA 48642","1050","1200"
"LA 48643","1050","1200"
"LA 48644","550","950"
"LA 48645","1050","1200"
"LA 48646","1050","1200"
"LA 48648","1050","1200"
"LA 48649","1050","1200"
"LA 48650","875","1200"
"LA 48651","875","1050"
"LA 48652","1050","1200"
"LA 48653","1050","1200"
"LA 48654","1050","1200"
"LA 48655","1050","1200"
"LA 48657","900","1050"
"LA 48667","1050","1200"
"LA 87059","1000","1150"
"LA 87060","1050","1300"
"LA 87064","1050","1300"
"LA 87078","1050","1200"
"LA 87079","1050","1200"
"LA 87094","700","850"
"LA 87100","1050","1200"
"LA 87104","1050","1175"
"LA 87105","1050","1200"
"LA 87110","1000","1175"
"LA 87111","900","1050"
"LA 87121","1050","1175"
"LA 87122","1050","1200"
"LA 87123","1050","1200"
"LA 87124","1050","1175"
"LA 87128","1050","1150"
"LA 87130","1050","1150"
"LA 87143","1050","1200"
"LA 87144","1050","1200"
"LA 87145","1050","1200"
"LA 87147","1050","1175"
"LA 87148","1050","1300"
"LA 87149","1050","1200"
"LA 87166","1050","1200"
"LA 87167","1050","1200"
"LA 87169","1050","1200"
"LA 87203","1050","1225"
"LA 87212","1050","1200"
"LA 87236","1050","1225"
"LA 87237","1050","1200"
"LA 87238","1050","1225"
"LA 87239","1050","1300"
"LA 87241","1050","1200"
"LA 87248","850","925"
"LA 87256","1175","1300"
"LA 87266","1175","1300"
"LA 87268","1050","1225"
"LA 87270","1050","1150"
"LA 87273","1050","1300"
"LA 87275","1050","1150"
"LA 87276","1000","1175"
"LA 87277","1050","1200"
"LA 87278","1050","1150"
"LA 87279","1050","1200"
"LA 87280","1050","1200"
"LA 87281","1050","1200"
"LA 87283","700","850"
"LA 87284","750","900"
"LA 87285","775","900"
"LA 87286","875","1200"
"LA 87288","1050","1200"
"LA 87290","1050","1200"
"LA 87291","1050","1200"
"LA 87292","1050","1300"
"LA 87294","1050","1200"
"LA 87296","1050","1200"
"LA 87299","1050","1150"
"LA 87303","900","1050"
"LA 87307","1050","1300"
"LA 87308","900","1200"
"LA 87309","1050","1225"
"LA 87310","900","1050"
"LA 87311","900","1050"
"LA 49801","1000","1150"
"LA 49802","550","1050"
"LA 50786","875","1050"
"LA 50788","1000","1150"
"LA 50791","1000","1150"
"FSOP03","1050","1300"
"FSOP04","1100","1300"
"FSOP05","1050","1325"
"FSOP07","1050","1175"
"FSOP08","1050","1300"
"FSOP09","875","1225"
"FSOP10","1200","1300"
"FSOP11","1175","1300"
"FSOP12","1050","1325"
"FSOP14","1200","1300"
"FSOP17","1200","1300"
"FSOP18","1175","1300"
"FSOP19","1200","1325"
"FSOP21","1200","1300"
"FSOP22","1200","1300"
"FSOP23","1200","1300"
"FSOP24","1050","1200"
"FSOP25","1200","1325"
"FSOP26","1050","1175"
"FSOP27","1200","1300"
"FSOP28","1200","1300"
"FSOP29","1050","1300"
"FSOP30","1050","1200"
"FSOP32","1050","1175"
"FSOP33","875","1200"
"LA 30221","1200","1300"
"LA 87548","1175","1300"
"LA 87549","1200","1300"
"LA 87557","1050","1175"
"LA 87558","1050","1175"
"LA 87559","1200","1300"
"LA 87560","1050","1225"
"LA 87561","1050","1175"
"LA 87562","1200","1300"
"LA 87566","1050","1175"
"LA 87567","1200","1300"
"LA 87571","1050","1175"
"LA 115402","1050","1150"
"LA 115403","1025","1150"
"LA 115407","1025","1200"
"LA 115409","1050","1200"
"LA 115410","1050","1150"
"LA 115414","1050","1150"
"LA 115415","1050","1150"
"LA 115416","1025","1200"
"LA 115419","1050","1150"
"LA 115422","1050","1150"
"LA 115424","1050","1200"
"LA 115425","1050","1150"
"LA 115426","1050","1175"
"LA 115428","1050","1225"
"LA 115429","1050","1175"
"LA 115430","1050","1150"
"LA 115433","1050","1150"
"LA 115434","1025","1200"
"LA 115435","1050","1175"
"LA 115437","1050","1175"
"LA 115438","1050","1150"
"LA 115442","1050","1150"
"LA 115443","1050","1150"
"LA 115444","1050","1150"
"LA 115445","1050","1150"
"LA 115449","1050","1150"
"LA 115450","1050","1200"
"LA 115451","1050","1150"
"LA 115452","1050","1150"
"LA 115453","1050","1150"
"LA 115457","1050","1150"
"LA 115460","1050","1150"
"LA 115463","1000","1150"
"LA 115468","1050","1150"
"LA 115469","1050","1150"
"LA 115470","1050","1175"
"LA 115475","1050","1150"
"LA 115483","1050","1150"
"LA 115485","1050","1200"
"LA 115489","1050","1225"
"LA 115490","1050","1175"
"LA 115491","1050","1150"
"LA 15402","900","1150"
"LA 15406","1050","1200"
"LA 15407","900","1150"
"LA 15408","1050","1200"
"LA 15409","900","1200"
"LA 15411","1050","1150"
"LA 15416","850","1100"
"LA 15429","1025","1200"
"LA 15434","1050","1175"
"LA 15435a","1000","1175"
"LA 15435b","1000","1175"
"LA 15440","1050","1150"
"LA 15453","900","1200"
"LA 15463","900","1200"
"LA 15466a","1050","1200"
"LA 15466b","1050","1200"
"LA 15471a","900","1050"
"LA 15471b","900","1050"
"LA 15472","900","1150"
"LA 15480","900","1200"
"LA 15493","1050","1150"
"LA 15495","850","925"
"LA 15497","1050","1200"
"LA 15499","1050","1150"
"LA 15501","1050","1200"
"LA 15504","1050","1200"
"LA 15507","700","850"
"LA 15508","1050","1200"
"LA 15509","700","850"
"LA 15511","700","850"
"LA 15512","700","850"
"LA 15513a","900","1150"
"LA 15513b","900","1150"
"LA 15515","900","1050"
"LA 15516","1050","1150"
"LA 15517","900","1100"
"LA 15519","900","1100"
"LA 15520","900","1100"
"LA 15527","1000","1150"
"LA 15528","900","1150"
"LA 15530","900","1100"
"LA 15531","875","1050"
"LA 15535","1025","1150"
"LA 15540","1050","1200"
"LA 15541","1000","1150"
"LA 15542","1050","1150"
"LA 15543","900","1300"
"LA 15544","1050","1150"
"LA 15545","1025","1200"
"LA 15546","1050","1150"
"LA 15548","1050","1150"
"LA 15549","1050","1150"
"LA 15550","1025","1175"
"LA 15551","1050","1150"
"LA 15553","1025","1175"
"LA 15554","1050","1200"
"LA 15555","1050","1200"
"LA 15558","1050","1200"
"LA 15559","1050","1150"
"LA 15563","1200","1300"
"LA 15564","1200","1300"
"LA 15565","1200","1300"
"LA 15566","1000","1100"
"LA 15567","900","1200"
"LA 15568","850","1150"
"LA 15571","1025","1150"
"LA 15572","1025","1150"
"LA 15575","1050","1150"
"LA 15577","1200","1300"
"LA 15578","1050","1200"
"LA 15580","900","1150"
"LA 15583","1050","1300"
"LA 15588","900","1150"
"LA 15591","1050","1200"
